PLANNING_SELECTED,PRODUCT,BUDGET_GROUP,SALE_CHANNEL_GRP,CREATE_MONTH, LOSS_RATE_PJ , LA in Bio 
GOODBANK,CRC,(blank),3P-DSA,01/12/2022,," 24,000,000 "
GOODBANK,CRC,(blank),3P-DSA,01/01/2023,," 36,000,000 "
GOODBANK,CRC,(blank),IH-DSA,01/12/2022,," 39,432,000,000 "
GOODBANK,CRC,(blank),IH-DSA,01/01/2023,," 3,852,000,000 "
GOODBANK,CRC,(blank),IH-TSA,01/12/2022,," 1,884,000,000 "
GOODBANK,CRC,(blank),IH-TSA,01/01/2023,," 108,000,000 "
GOODBANK,CRC,(blank),IH-TSA TR,01/12/2022,," 84,000,000 "
GOODBANK,CRC,(blank),Unidentified,01/01/2023,," 3,000,000 "
GOODBANK,CRC,STAFF,Digital,01/12/2022,," 15,000,000 "
GOODBANK,PLLG,LG HIGH SCORE,IH-TSA,01/12/2022, 0.291403 ," 269,375,000 "
GOODBANK,PLLG,LG HIGH SCORE,IH-TSA,01/01/2023, -   ," 91,610,000 "
GOODBANK,PLLG,LG HIGH SCORE,IH-TSA LG,01/12/2022, 0.258982 ," 29,031,833,000 "
GOODBANK,PLLG,LG HIGH SCORE,IH-TSA LG,01/01/2023, 0.164599 ," 15,254,507,000 "
GOODBANK,PLLG,LG HIGH SCORE,IH-TSA LG,01/02/2023, 0.248925 ," 17,464,852,000 "
GOODBANK,PLLG,LG HIGH SCORE,IH-TSA LG,01/03/2023, 0.266853 ," 13,372,524,000 "
GOODBANK,PLLG,LG HIGH SCORE,IH-TSA LG,01/04/2023, 0.260134 ," 13,902,723,000 "
GOODBANK,PLLG,LG HIGH SCORE,IH-TSA LG,01/05/2023, 0.298633 ," 12,903,406,000 "
GOODBANK,PLLG,LG LOW SCORE,IH-TSA LG,01/12/2022, 0.346641 ," 225,130,000 "
GOODBANK,PLLG,LG LOW SCORE,IH-TSA LG,01/01/2023, -   ," 10,000,000 "
GOODBANK,PLLG,LG LOW SCORE,IH-TSA LG,01/02/2023, 0.702325 ," 2,433,258,000 "
GOODBANK,PLLG,LG LOW SCORE,IH-TSA LG,01/03/2023, 0.457151 ," 6,729,080,000 "
GOODBANK,PLLG,LG LOW SCORE,IH-TSA LG,01/04/2023, 0.484364 ," 5,607,820,000 "
GOODBANK,PLLG,LG LOW SCORE,IH-TSA LG,01/05/2023, 0.383013 ," 5,681,133,000 "
GOODBANK,PLLG,LG MED SCORE,IH-TSA,01/01/2023, -   ," 33,116,000 "
GOODBANK,PLLG,LG MED SCORE,IH-TSA LG,01/12/2022, 0.344979 ," 7,667,964,000 "
GOODBANK,PLLG,LG MED SCORE,IH-TSA LG,01/01/2023, 0.309615 ," 7,247,760,000 "
GOODBANK,PLLG,LG MED SCORE,IH-TSA LG,01/02/2023, 0.304649 ," 14,682,139,000 "
GOODBANK,PLLG,LG MED SCORE,IH-TSA LG,01/03/2023, 0.319093 ," 17,595,165,000 "
GOODBANK,PLLG,LG MED SCORE,IH-TSA LG,01/04/2023, 0.279011 ," 18,396,949,000 "
GOODBANK,PLLG,LG MED SCORE,IH-TSA LG,01/05/2023, 0.269258 ," 15,920,558,000 "
GOODBANK,PLLG,ZALO HIGH SCORE,IH-TSA LG,01/12/2022, 0.223226 ," 23,887,128,000 "
GOODBANK,PLLG,ZALO HIGH SCORE,IH-TSA LG,01/01/2023, 0.177675 ," 13,155,896,000 "
GOODBANK,PLLG,ZALO HIGH SCORE,IH-TSA LG,01/02/2023, 0.258352 ," 25,028,435,000 "
GOODBANK,PLLG,ZALO HIGH SCORE,IH-TSA LG,01/03/2023, 0.240782 ," 19,374,927,000 "
GOODBANK,PLLG,ZALO HIGH SCORE,IH-TSA LG,01/04/2023, 0.103473 ," 2,772,840,000 "
GOODBANK,PLLG,ZALO LOW SCORE,IH-TSA LG,01/12/2022, -   ," 32,250,000 "
GOODBANK,PLLG,ZALO LOW SCORE,IH-TSA LG,01/03/2023, 0.133167 ," 810,698,000 "
GOODBANK,PLLG,ZALO LOW SCORE,IH-TSA LG,01/04/2023, 0.324674 ," 1,559,750,000 "
GOODBANK,PLLG,ZALO MED SCORE,IH-TSA LG,01/12/2022, 0.320806 ," 17,601,687,000 "
GOODBANK,PLLG,ZALO MED SCORE,IH-TSA LG,01/01/2023, 0.308890 ," 11,470,238,000 "
GOODBANK,PLLG,ZALO MED SCORE,IH-TSA LG,01/02/2023, 0.342745 ," 17,853,688,000 "
GOODBANK,PLLG,ZALO MED SCORE,IH-TSA LG,01/03/2023, 0.331522 ," 15,063,178,000 "
GOODBANK,PLLG,ZALO MED SCORE,IH-TSA LG,01/04/2023, 0.200619 ," 4,980,314,000 "
GOODBANK,PLNLG,B@W,3P-DSA,01/12/2022, 0.181625 ," 1,238,503,000 "
GOODBANK,PLNLG,B@W,3P-DSA,01/01/2023, 0.224327 ," 2,958,150,000 "
GOODBANK,PLNLG,B@W,3P-DSA,01/02/2023, 0.168363 ," 3,082,527,000 "
GOODBANK,PLNLG,B@W,3P-DSA,01/03/2023, 0.431804 ," 722,568,000 "
GOODBANK,PLNLG,B@W,IH-DSA,01/12/2022, 0.219503 ," 25,949,781,000 "
GOODBANK,PLNLG,B@W,IH-DSA,01/01/2023, 0.219887 ," 27,014,080,000 "
GOODBANK,PLNLG,B@W,IH-DSA,01/02/2023, 0.192408 ," 17,729,521,000 "
GOODBANK,PLNLG,B@W,IH-DSA,01/03/2023, -   ," 62,750,000 "
GOODBANK,PLNLG,B@W,IH-POS,01/12/2022, 0.227854 ," 4,414,860,000 "
GOODBANK,PLNLG,B@W,IH-POS,01/01/2023, 0.180773 ," 7,245,015,000 "
GOODBANK,PLNLG,B@W,IH-POS,01/02/2023, 0.171738 ," 5,062,523,000 "
GOODBANK,PLNLG,B@W,IH-POS,01/03/2023, 0.244921 ," 671,765,000 "
GOODBANK,PLNLG,B@W,Unidentified,01/03/2023, -   ," 10,000,000 "
GOODBANK,PLNLG,UNIFIED NONLG,3P-DSA,01/12/2022, 0.364968 ," 34,483,060,000 "
GOODBANK,PLNLG,UNIFIED NONLG,3P-DSA,01/01/2023, 0.377118 ," 68,557,041,000 "
GOODBANK,PLNLG,UNIFIED NONLG,3P-DSA,01/02/2023, 0.433027 ," 79,626,002,000 "
GOODBANK,PLNLG,UNIFIED NONLG,3P-DSA,01/03/2023, 0.468305 ," 94,509,637,000 "
GOODBANK,PLNLG,UNIFIED NONLG,3P-DSA,01/04/2023, 0.407923 ," 110,772,633,000 "
GOODBANK,PLNLG,UNIFIED NONLG,3P-DSA,01/05/2023, 0.343641 ," 132,129,142,000 "
GOODBANK,PLNLG,UNIFIED NONLG,3P-TSA,01/02/2023, 0.546821 ," 741,151,000 "
GOODBANK,PLNLG,UNIFIED NONLG,3P-TSA,01/03/2023, 0.259473 ," 5,619,675,000 "
GOODBANK,PLNLG,UNIFIED NONLG,3P-TSA,01/04/2023, 0.257450 ," 9,869,206,000 "
GOODBANK,PLNLG,UNIFIED NONLG,3P-TSA,01/05/2023, 0.263953 ," 11,588,647,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-DSA,01/12/2022, 0.291619 ," 331,840,476,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-DSA,01/01/2023, 0.267532 ," 450,402,645,002 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-DSA,01/02/2023, 0.310970 ," 485,303,575,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-DSA,01/03/2023, 0.328552 ," 530,064,114,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-DSA,01/04/2023, 0.289238 ," 517,485,415,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-DSA,01/05/2023, 0.262178 ," 556,044,610,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-POS,01/12/2022, 0.259886 ," 62,783,879,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-POS,01/01/2023, 0.226397 ," 91,947,743,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-POS,01/02/2023, 0.260951 ," 110,155,652,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-POS,01/03/2023, 0.271810 ," 137,164,077,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-POS,01/04/2023, 0.242848 ," 139,540,309,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-POS,01/05/2023, 0.222068 ," 151,670,187,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA,01/12/2022, 0.375902 ," 9,944,401,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA,01/01/2023, 0.243415 ," 10,805,519,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA,01/02/2023, 0.299324 ," 14,164,641,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA,01/03/2023, 0.263486 ," 40,735,752,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA,01/04/2023, 0.239800 ," 49,819,559,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA,01/05/2023, 0.195289 ," 61,987,753,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA LG,01/12/2022, 0.343704 ," 40,007,412,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA LG,01/01/2023, 0.345877 ," 54,673,836,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA LG,01/02/2023, 0.361738 ," 74,161,336,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA LG,01/03/2023, 0.369411 ," 96,126,312,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA LG,01/04/2023, 0.308639 ," 93,477,634,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA LG,01/05/2023, 0.269298 ," 112,483,612,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA TR,01/12/2022, 0.078522 ," 1,243,209,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA TR,01/01/2023, 0.260017 ," 1,935,736,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA TR,01/02/2023, 0.252289 ," 1,729,186,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA TR,01/03/2023, 0.245519 ," 1,908,627,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA TR,01/04/2023, 0.181513 ," 2,852,755,000 "
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA TR,01/05/2023, 0.455261 ," 2,508,597,000 "
GOODBANK,PLNLG,UNIFIED NONLG,Unidentified,01/03/2023, -   ," 30,000,000 "
GOODBANK,PLNLG,UNIFIED NONLG,Unidentified,01/04/2023, 0.703901 ," 226,910,000 "
GOODBANK,PLNLG,UNIFIED NONLG,Unidentified,01/05/2023, -   ," 827,545,000 "
GOODBANK,TW,TWL NON PROMO NEW BIKE HIGH DP,3P-DSA,01/04/2023, -   ," 18,060,000 "
GOODBANK,TW,TWL NON PROMO NEW BIKE HIGH DP,3P-DSA,01/05/2023, -   ," 10,500,000 "
GOODBANK,TW,TWL NON PROMO NEW BIKE HIGH DP,IH-POS,01/12/2022, 0.081641 ," 4,264,245,800 "
GOODBANK,TW,TWL NON PROMO NEW BIKE HIGH DP,IH-POS,01/01/2023, 0.051415 ," 34,507,409,000 "
GOODBANK,TW,TWL NON PROMO NEW BIKE HIGH DP,IH-POS,01/02/2023, 0.049009 ," 18,066,740,000 "
GOODBANK,TW,TWL NON PROMO NEW BIKE HIGH DP,IH-POS,01/03/2023, 0.057012 ," 13,168,683,000 "
GOODBANK,TW,TWL NON PROMO NEW BIKE HIGH DP,IH-POS,01/04/2023, 0.056121 ," 14,795,635,000 "
GOODBANK,TW,TWL NON PROMO NEW BIKE HIGH DP,IH-POS,01/05/2023, 0.072052 ," 11,514,133,000 "
GOODBANK,TW,TWL NON PROMO NEW BIKE LOW DP,3P-DSA,01/01/2023, -   ," 153,228,000 "
GOODBANK,TW,TWL NON PROMO NEW BIKE LOW DP,3P-DSA,01/02/2023, -   ," 28,147,000 "
GOODBANK,TW,TWL NON PROMO NEW BIKE LOW DP,3P-DSA,01/03/2023, -   ," 24,001,000 "
GOODBANK,TW,TWL NON PROMO NEW BIKE LOW DP,3P-DSA,01/04/2023, -   ," 23,619,000 "
GOODBANK,TW,TWL NON PROMO NEW BIKE LOW DP,3P-DSA,01/05/2023,," 19,148,000 "
GOODBANK,TW,TWL NON PROMO NEW BIKE LOW DP,IH-POS,01/12/2022, 0.076963 ," 16,995,119,192 "
GOODBANK,TW,TWL NON PROMO NEW BIKE LOW DP,IH-POS,01/01/2023, 0.051828 ," 61,113,916,000 "
GOODBANK,TW,TWL NON PROMO NEW BIKE LOW DP,IH-POS,01/02/2023, 0.067445 ," 33,753,137,000 "
GOODBANK,TW,TWL NON PROMO NEW BIKE LOW DP,IH-POS,01/03/2023, 0.053275 ," 26,402,246,000 "
GOODBANK,TW,TWL NON PROMO NEW BIKE LOW DP,IH-POS,01/04/2023, 0.068010 ," 29,237,108,000 "
GOODBANK,TW,TWL NON PROMO NEW BIKE LOW DP,IH-POS,01/05/2023, 0.076190 ," 21,791,759,000 "
GOODBANK,TW,TWL NON PROMO USED BIKE HIGH DP,IH-POS,01/12/2022, -   ," 336,235,000 "
GOODBANK,TW,TWL NON PROMO USED BIKE HIGH DP,IH-POS,01/01/2023, 0.123793 ," 759,195,000 "
GOODBANK,TW,TWL NON PROMO USED BIKE HIGH DP,IH-POS,01/02/2023, 0.117097 ," 839,118,000 "
GOODBANK,TW,TWL NON PROMO USED BIKE HIGH DP,IH-POS,01/03/2023, 0.113299 ," 818,184,000 "
GOODBANK,TW,TWL NON PROMO USED BIKE HIGH DP,IH-POS,01/04/2023, 0.096667 ," 1,096,380,000 "
GOODBANK,TW,TWL NON PROMO USED BIKE HIGH DP,IH-POS,01/05/2023, 0.086293 ," 659,940,000 "
GOODBANK,TW,TWL PROMO NEW BIKE HIGH DP,3P-DSA,01/12/2022, -   ," 25,200,240 "
GOODBANK,TW,TWL PROMO NEW BIKE HIGH DP,3P-DSA,01/01/2023, -   ," 44,190,000 "
GOODBANK,TW,TWL PROMO NEW BIKE HIGH DP,3P-DSA,01/02/2023, -   ," 27,974,000 "
GOODBANK,TW,TWL PROMO NEW BIKE HIGH DP,3P-DSA,01/03/2023, -   ," 53,991,000 "
GOODBANK,TW,TWL PROMO NEW BIKE HIGH DP,3P-DSA,01/04/2023, -   ," 103,899,000 "
GOODBANK,TW,TWL PROMO NEW BIKE HIGH DP,3P-DSA,01/05/2023, -   ," 25,231,000 "
GOODBANK,TW,TWL PROMO NEW BIKE HIGH DP,IH-POS,01/12/2022, 0.021674 ," 5,473,880,878 "
GOODBANK,TW,TWL PROMO NEW BIKE HIGH DP,IH-POS,01/01/2023, 0.022150 ," 49,469,441,840 "
GOODBANK,TW,TWL PROMO NEW BIKE HIGH DP,IH-POS,01/02/2023, 0.026514 ," 27,976,872,200 "
GOODBANK,TW,TWL PROMO NEW BIKE HIGH DP,IH-POS,01/03/2023, 0.020744 ," 24,790,937,000 "
GOODBANK,TW,TWL PROMO NEW BIKE HIGH DP,IH-POS,01/04/2023, 0.011713 ," 24,740,987,000 "
GOODBANK,TW,TWL PROMO NEW BIKE HIGH DP,IH-POS,01/05/2023, 0.014206 ," 18,312,204,000 "
GOODBANK,TW,TWL PROMO NEW BIKE LOW DP,3P-DSA,01/02/2023, -   ," 50,279,000 "
GOODBANK,TW,TWL PROMO NEW BIKE LOW DP,3P-DSA,01/03/2023, -   ," 18,271,000 "
GOODBANK,TW,TWL PROMO NEW BIKE LOW DP,3P-DSA,01/05/2023, -   ," 16,149,000 "
GOODBANK,TW,TWL PROMO NEW BIKE LOW DP,IH-POS,01/12/2022, 0.064407 ," 4,370,317,711 "
GOODBANK,TW,TWL PROMO NEW BIKE LOW DP,IH-POS,01/01/2023, 0.068770 ," 23,247,676,400 "
GOODBANK,TW,TWL PROMO NEW BIKE LOW DP,IH-POS,01/02/2023, 0.055141 ," 18,934,103,000 "
GOODBANK,TW,TWL PROMO NEW BIKE LOW DP,IH-POS,01/03/2023, 0.050267 ," 16,263,999,000 "
GOODBANK,TW,TWL PROMO NEW BIKE LOW DP,IH-POS,01/04/2023, 0.059311 ," 13,571,887,000 "
GOODBANK,TW,TWL PROMO NEW BIKE LOW DP,IH-POS,01/05/2023, 0.066985 ," 12,015,002,000 "
GOODBANK,TW,TWL PROMO USED BIKE HIGH DP,3P-DSA,01/05/2023, -   ," 42,639,000 "
GOODBANK,TW,TWL PROMO USED BIKE HIGH DP,IH-POS,01/12/2022, 0.036537 ," 4,389,332,289 "
GOODBANK,TW,TWL PROMO USED BIKE HIGH DP,IH-POS,01/01/2023, 0.082526 ," 23,490,830,000 "
GOODBANK,TW,TWL PROMO USED BIKE HIGH DP,IH-POS,01/02/2023, 0.081999 ," 17,957,021,000 "
GOODBANK,TW,TWL PROMO USED BIKE HIGH DP,IH-POS,01/03/2023, 0.086920 ," 18,524,790,000 "
GOODBANK,TW,TWL PROMO USED BIKE HIGH DP,IH-POS,01/04/2023, 0.085524 ," 22,160,210,000 "
GOODBANK,TW,TWL PROMO USED BIKE HIGH DP,IH-POS,01/05/2023, 0.051402 ," 17,788,838,000 "
GOODBANK,TW,TWL PROMO USED BIKE LOW DP,IH-POS,01/12/2022, -   ," 90,822,000 "
